C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13.2024,-0.00234821
13.2026,-0.0023495
13.2028,-0.00235078
13.203,-0.00235208
13.2032,-0.00235337
13.2034,-0.00235467
13.2036,-0.00235597
13.2038,-0.00235728
13.204,-0.00235859
13.2042,-0.0023599
13.2044,-0.00236121
13.2046,-0.00236253
13.2048,-0.00236385
13.205,-0.00236518
13.2052,-0.00236651
13.2054,-0.00236784
13.2056,-0.00236918
13.2058,-0.00237051
13.206,-0.00237186
13.2062,-0.0023732
13.2064,-0.00237455
13.2066,-0.00237591
13.2068,-0.00237726
13.207,-0.00237862
13.2072,-0.00237999
13.2074,-0.00238136
13.2076,-0.00238273
13.2078,-0.0023841
13.208,-0.00238548
13.2082,-0.00238686
13.2084,-0.00238825
13.2086,-0.00238964
13.2088,-0.00239103
13.209,-0.00239243
13.2092,-0.00239383
13.2094,-0.00239523
13.2096,-0.00239664
13.2098,-0.00239805
13.21,-0.00239947
13.2102,-0.00240089
13.2104,-0.00240231
13.2106,-0.00240374
13.2108,-0.00240517
13.211,-0.0024066
13.2112,-0.00240804
13.2114,-0.00240948
13.2116,-0.00241093
13.2118,-0.00241238
13.212,-0.00241383
13.2122,-0.00241529
13.2124,-0.00241675
13.2126,-0.00241822
13.2128,-0.00241969
13.213,-0.00242116
13.2132,-0.00242264
13.2134,-0.00242412
13.2136,-0.00242561
13.2138,-0.0024271
13.214,-0.00242859
13.2142,-0.00243009
13.2144,-0.0024316
13.2146,-0.0024331
13.2148,-0.00243461
13.215,-0.00243613
13.2152,-0.00243765
13.2154,-0.00243917
13.2156,-0.0024407
13.2158,-0.00244223
13.216,-0.00244377
13.2162,-0.00244531
13.2164,-0.00244685
13.2166,-0.0024484
13.2168,-0.00244996
13.217,-0.00245151
13.2172,-0.00245308
13.2174,-0.00245464
13.2176,-0.00245621
13.2178,-0.00245779
13.218,-0.00245937
13.2182,-0.00246095
13.2184,-0.00246254
13.2186,-0.00246414
13.2188,-0.00246573
13.219,-0.00246734
13.2192,-0.00246894
13.2194,-0.00247056
13.2196,-0.00247217
13.2198,-0.00247379
13.22,-0.00247542
13.2202,-0.00247705
13.2204,-0.00247868
13.2206,-0.00248032
13.2208,-0.00248197
13.221,-0.00248362
13.2212,-0.00248527
13.2214,-0.00248693
13.2216,-0.00248859
13.2218,-0.00249026
13.222,-0.00249193
13.2222,-0.00249361
13.2224,-0.0024953
13.2226,-0.00249698
13.2228,-0.00249868
13.223,-0.00250037
13.2232,-0.00250208
13.2234,-0.00250378
