C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
10.979,-0.149963
10.98,-0.150004
10.981,-0.150045
10.982,-0.150085
10.983,-0.150126
10.984,-0.150167
10.985,-0.150208
10.986,-0.150248
10.987,-0.150289
10.988,-0.15033
10.989,-0.150371
10.99,-0.150411
10.991,-0.150452
10.992,-0.150493
10.993,-0.150534
10.994,-0.150574
10.995,-0.150615
10.996,-0.150656
10.997,-0.150697
10.998,-0.150738
10.999,-0.150779
11,-0.150819
11.001,-0.15086
11.002,-0.150901
11.003,-0.150942
11.004,-0.150983
11.005,-0.151024
11.006,-0.151064
11.007,-0.151105
11.008,-0.151146
11.009,-0.151187
11.01,-0.151228
11.011,-0.151269
11.012,-0.15131
11.013,-0.151351
11.014,-0.151392
11.015,-0.151433
11.016,-0.151474
11.017,-0.151514
11.018,-0.151555
11.019,-0.151596
11.02,-0.151637
11.021,-0.151678
11.022,-0.151719
11.023,-0.15176
11.024,-0.151801
11.025,-0.151842
11.026,-0.151883
11.027,-0.151924
11.028,-0.151965
11.029,-0.152006
11.03,-0.152047
11.031,-0.152088
11.032,-0.152129
11.033,-0.15217
11.034,-0.152211
11.035,-0.152252
11.036,-0.152293
11.037,-0.152335
11.038,-0.152376
11.039,-0.152417
11.04,-0.152458
11.041,-0.152499
11.042,-0.15254
11.043,-0.152581
11.044,-0.152622
11.045,-0.152663
11.046,-0.152704
11.047,-0.152746
11.048,-0.152787
11.049,-0.152828
11.05,-0.152869
11.051,-0.15291
11.052,-0.152951
11.053,-0.152992
11.054,-0.153034
11.055,-0.153075
11.056,-0.153116
11.057,-0.153157
11.058,-0.153198
11.059,-0.153239
11.06,-0.153281
11.061,-0.153322
11.062,-0.153363
11.063,-0.153404
11.064,-0.153446
11.065,-0.153487
11.066,-0.153528
11.067,-0.153569
11.068,-0.15361
11.069,-0.153652
11.07,-0.153693
11.071,-0.153734
11.072,-0.153776
11.073,-0.153817
11.074,-0.153858
11.075,-0.153899
11.076,-0.153941
11.077,-0.153982
11.078,-0.154023
11.079,-0.154065
11.08,-0.154106
11.081,-0.154147
11.082,-0.154189
11.083,-0.15423
11.084,-0.154271
11.085,-0.154313
11.086,-0.154354
11.087,-0.154395
11.088,-0.154437
11.089,-0.154478
11.09,-0.154519
11.091,-0.154561
11.092,-0.154602
11.093,-0.154643
11.094,-0.154685
11.095,-0.154726
11.096,-0.154768
11.097,-0.154809
11.098,-0.15485
11.099,-0.154892
11.1,-0.154933
11.101,-0.154975
11.102,-0.155016
11.103,-0.155058
11.104,-0.155099
11.105,-0.155141
11.106,-0.155182
11.107,-0.155223
11.108,-0.155265
11.109,-0.155306
11.11,-0.155348
11.111,-0.155389
11.112,-0.155431
11.113,-0.155472
11.114,-0.155514
11.115,-0.155555
11.116,-0.155597
11.117,-0.155638
11.118,-0.15568
11.119,-0.155721
11.12,-0.155763
11.121,-0.155804
11.122,-0.155846
11.123,-0.155887
11.124,-0.155929
11.125,-0.155971
11.126,-0.156012
11.127,-0.156054
11.128,-0.156095
11.129,-0.156137
11.13,-0.156178
11.131,-0.15622
11.132,-0.156262
11.133,-0.156303
11.134,-0.156345
11.135,-0.156386
11.136,-0.156428
11.137,-0.15647
11.138,-0.156511
11.139,-0.156553
11.14,-0.156594
11.141,-0.156636
11.142,-0.156678
11.143,-0.156719
11.144,-0.156761
11.145,-0.156803
11.146,-0.156844
11.147,-0.156886
11.148,-0.156927
11.149,-0.156969
11.15,-0.157011
11.151,-0.157052
11.152,-0.157094
11.153,-0.157136
11.154,-0.157177
11.155,-0.157219
11.156,-0.157261
11.157,-0.157303
11.158,-0.157344
11.159,-0.157386
11.16,-0.157428
11.161,-0.157469
11.162,-0.157511
11.163,-0.157553
11.164,-0.157595
11.165,-0.157636
11.166,-0.157678
11.167,-0.15772
11.168,-0.157761
11.169,-0.157803
11.17,-0.157845
11.171,-0.157887
11.172,-0.157928
11.173,-0.15797
